Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2022-05-22,4,180000,1755,6 out of 18,2,"Godrej The Trees, Vikhroli East",2,2,Family,4
2022-05-31,3,190000,1850,35 out of 55,2,"Crescent Bay Callisto, Parel",2,2,Bachelors,4
2022-05-06,2,8000,890,4 out of 4,2,new panvel,2,1,Bachelors/Family,2
2022-06-23,3,75000,1200,5 out of 12,2,Chembur,2,2,Bachelors/Family,3
2022-06-16,3,83000,1100,9 out of 20,2,"Raheja Vista, Powai",2,2,Bachelors,3
2022-07-07,1,32000,420,1 out of 3,2,Chembur,2,2,Family,2
2022-07-06,2,39000,630,6 out of 7,2,"Yashodham Complex, Goregaon East",2,1,Family,2
2022-06-03,4,150000,1705,16 out of 29,2,"Adani Western Heights, Andheri West",2,2,Family,3
2022-06-23,3,190000,1300,1 out of 7,2,"Sunflower Apartment, Bandra West",2,2,Bachelors,3
2022-06-08,3,160000,1355,30 out of 45,2,"Oberoi Exquisite II, Film City Road",2,2,Bachelors/Family,3
2022-06-20,1,25000,450,5 out of 7,2,Goregaon West,2,2,Bachelors,2
2022-05-27,3,90000,1350,5 out of 12,2,"Mahindra Vivante, Chakala",2,1,Family,3
2022-05-14,2,95000,825,17 out of 22,2,"lokhandwala residency, Worli",2,2,Bachelors,2
2022-07-04,1,30000,550,2 out of 4,1,"Jumbo Darshan , Andheri East",2,2,Bachelors/Family,1
2022-05-25,1,18500,430,5 out of 7,2,"Gokul Accord, Thakur Complex",2,1,Family,1
2022-06-16,1,18000,320,5 out of 7,2,"spring grove uno, Lokhandwala Twp",2,2,Bachelors/Family,1
2022-06-23,3,75000,1100,4 out of 12,2,Chembur,2,2,Bachelors/Family,3
2022-05-14,4,150000,1460,11 out of 13,2,"Insignia, Bandra East",2,2,Bachelors/Family,4
2022-06-12,3,100000,1250,6 out of 18,2,"Panch Ritu, Chandivali",2,2,Bachelors/Family,3
2022-06-28,2,170000,1000,5 out of 9,2,Breach Candy,2,2,Bachelors/Family,3
2022-07-07,2,45000,710,8 out of 16,2,Saki Vihar Road,2,1,Bachelors/Family,2
2022-07-09,3,200000,1350,1 out of 5,2,Anand niwas,2,2,Bachelors,3
2022-06-23,2,20000,400,3 out of 3,2,Pant Nagar,2,2,Bachelors/Family,1
2022-07-07,3,85000,1000,16 out of 25,2,"DLH Orchid, Andheri West",2,2,Bachelors/Family,4
2022-07-06,3,130000,1500,7 out of 12,2,Central Avenue Road,2,1,Family,3
2022-07-09,1,40000,500,3 out of 6,1,"7 Bungalow, Seven Bungalows",2,2,Bachelors/Family,1
2022-06-30,4,250000,2000,33 out of 42,2,"Imperial Heights, Goregaon West",2,2,Bachelors,4
2022-04-29,1,15000,225,Ground out of 4,2,Shrikrupa Society,2,1,Bachelors,1
2022-05-13,2,40000,650,12 out of 19,2,Mulund West,2,2,Bachelors/Family,2
2022-07-06,2,48000,670,4 out of 16,2,"Velentine Tower, Goregaon East",2,2,Family,2
2022-05-31,2,15000,610,Ground out of 6,2,"RNA Broadway Avenue, Mira Road",2,2,Bachelors,1
2022-07-01,1,28000,400,1 out of 5,2,Chakala,2,2,Bachelors/Family,2
2022-06-18,1,25000,340,13 out of 23,2,"Mahalaxmi CHS, Worli",2,1,Bachelors/Family,1
2022-05-23,2,34000,471,9 out of 38,2,"Runwal Forests, Kanjurmarg West",2,2,Bachelors,2
2022-06-03,1,75000,550,6 out of 8,2,Carter Road,2,2,Bachelors/Family,2
2022-05-19,2,45000,630,8 out of 13,2,"Crescent Solitaire, Sakinaka Junction",2,2,Bachelors/Family,1
2022-05-27,1,35000,500,1 out of 8,1,Ghatkopar West,2,2,Bachelors/Family,2
2022-07-06,1,32000,400,3 out of 7,2,"Trans Residency, Andheri East",2,2,Bachelors/Family,1
2022-07-04,2,17000,1000,3 out of 7,1,"holy complex ,Mira Road, Mumbai",2,1,Bachelors/Family,2
2022-06-20,4,230000,1528,65 out of 76,2,"Lodha Marquise, Worli",2,1,Family,4
2022-05-17,2,35000,650,5 out of 7,2,"Thakur Village, Kandivali East",2,2,Bachelors/Family,2
2022-05-31,1,8500,500,6 out of 7,2,Thane-Kalyan-Dombivli,2,1,Bachelors,1
2022-05-19,3,80000,850,19 out of 30,2,"Oberoi Splendor, Agarkar Chowk",2,2,Bachelors/Family,2
2022-05-14,1,55000,550,13 out of 14,2,"Paschim Apartments, Prabhadevi",2,2,Bachelors,1
2022-06-12,1,25000,430,7 out of 21,2,"Godrej Tranquil, Kandivali East",2,1,Family,2
2022-07-01,3,40000,1030,10 out of 14,2,"Bhairav Residency, Mira Road",2,2,Family,3
2022-06-27,1,15500,250,11 out of 24,2,"MHADA Century Mill, Prabhadevi",2,1,Bachelors/Family,1
2022-07-06,1,45000,500,9 out of 16,2,Mahim,2,1,Bachelors,2
2022-07-07,4,180000,1750,9 out of 31,2,Andheri West,2,2,Bachelors,4
2022-07-06,2,51000,985,7 out of 15,2,"Chembur Heights, Sindhi Society Chembur",2,1,Bachelors/Family,2
2022-06-20,3,60000,1050,12 out of 13,2,"Veena Signature, Borivali West",2,1,Bachelors,3
2022-05-23,2,36000,700,4 out of 15,2,Borivali East,2,1,Bachelors/Family,2
2022-06-24,3,180000,1200,10 out of 12,2,Bandra West,2,2,Bachelors/Family,3
2022-06-23,3,75000,1000,6 out of 12,2,Chembur,2,2,Bachelors/Family,3
2022-06-20,2,8000,550,3 out of 9,2,"Nakoda Heights, Nalasopara",2,1,Family,2
2022-05-10,3,50000,806,2 out of 4,1,Wadala,2,2,Bachelors/Family,2
2022-07-09,3,100000,1400,22 out of 30,2,"Hiranandani Verona Co op Housing Society Ltd, Powai",2,2,Bachelors/Family,3
2022-07-07,1,16500,470,11 out of 14,2,"Kanungos Garden City, Mira Road East",2,2,Family,2
2022-05-31,1,4500,475,3 out of 4,1,Nalasopara West,2,1,Bachelors/Family,1
2022-07-07,2,34000,583,10 out of 23,2,"Oasis, Akurli Nagar",2,1,Family,2
2022-06-16,2,32000,475,8 out of 12,2,Goregaon West,2,1,Bachelors,2
2022-05-12,2,50000,900,1 out of 8,2,Yashodham,2,2,Family,2
2022-07-07,1,24000,500,3 out of 7,2,Dattani Park,2,2,Bachelors/Family,1
2022-07-06,2,62000,806,3 out of 58,2,"Auris Serenity, Malad West",2,1,Bachelors/Family,3
2022-07-07,1,100000,400,9 out of 10,2,"Violette Valley, Bandra West",2,2,Bachelors/Family,1
2022-04-29,1,21000,650,6 out of 10,1,Bhandup West,2,2,Bachelors/Family,2
2022-04-29,1,27000,550,4 out of 15,1,"Raj Hill, Borivali East",2,2,Bachelors/Family,2
2022-06-30,1,10000,390,3 out of 4,2,Mira Road East,2,1,Bachelors/Family,1
2022-06-30,2,90000,994,2 out of 2,2,"Ajmera Treon, Bhakti Park",2,2,Bachelors/Family,2
2022-05-31,1,8000,520,6 out of 8,1,Virar West,2,2,Bachelors/Family,2
2022-06-15,1,75000,575,1 out of 9,2,Malabar Hill,2,2,Family,1
2022-07-09,3,230000,2750,53 out of 60,2,"Lodha World Crest, Lower Parel",2,1,Bachelors/Family,3
2022-06-13,1,15000,470,5 out of 22,2,"Man Opus, Mira Road East",2,2,Family,2
2022-07-06,4,260000,2500,3 out of 7,2,Khar West,2,2,Bachelors/Family,4
2022-07-09,3,62000,1100,15 out of 22,2,"Lake Homes, Powai",2,2,Family,3
2022-06-27,1,43500,480,6 out of 7,2,Yari Road,2,2,Bachelors/Family,2
2022-05-27,2,62000,750,12 out of 16,2,"Cosmopolis Tower, Andheri West",2,1,Bachelors/Family,2
2022-05-27,4,400000,2424,5 out of 14,2,"Rustomjee Elements, Andheri West",2,2,Bachelors/Family,5
2022-07-06,2,77500,724,19 out of 21,2,"Sethia Grandeur, Bandra East",2,2,Bachelors,2
2022-05-19,1,30000,600,5 out of 5,2,Mulund Railway Station,2,2,Bachelors/Family,1
2022-06-23,3,110000,1076,9 out of 40,2,"Lodha New Cuffe Parade, Wadala East",2,2,Bachelors/Family,2
2022-04-29,1,20000,800,3 out of 4,1,in Byculla,2,1,Bachelors/Family,2
2022-07-06,3,150000,1300,6 out of 7,2,Seven Bungalows,2,2,Bachelors/Family,3
2022-07-04,1,55000,500,1 out of 7,2,Bandra West,2,1,Bachelors/Family,2
2022-06-22,2,70000,700,Ground out of 8,2,Santacruz West,2,2,Bachelors,2
2022-05-23,2,65000,700,4 out of 9,2,Kamla Nagar,2,2,Bachelors,2
2022-07-09,3,310000,2170,44 out of 75,2,"Omkar 1973, Worli",2,2,Bachelors/Family,4
2022-06-17,1,18000,225,18 out of 24,2,Worli,2,1,Bachelors,2
2022-06-23,1,48000,485,8 out of 17,2,"Kanakia Sevens, Andheri East",2,2,Bachelors/Family,2
2022-04-29,1,10000,225,7 out of 8,1,Kanjurmarg East,2,1,Bachelors/Family,1
2022-06-16,1,32000,478,4 out of 11,2,"Blue Monarch, Marol",2,2,Bachelors/Family,2
2022-05-10,3,32000,1200,4 out of 5,1,"Ishwardas Bhuvan CHS, Kandivali East",2,2,Bachelors/Family,3
2022-07-07,2,36000,620,3 out of 14,2,Datta Pada,2,2,Family,2
2022-06-08,1,22000,280,3 out of 7,2,"Suryodaya CHS, Prabhadevi",2,1,Bachelors/Family,1
2022-06-20,1,5500,385,3 out of 9,2,"Manibhadra Avenue, Morya Nagar",2,1,Family,1
2022-05-25,3,15000,704,5 out of 17,2,Thane-Kalyan-Dombivli,2,1,Bachelors/Family,2
2022-04-29,2,40000,710,3 out of 4,2,Anushakti Nagar,2,1,Bachelors/Family,2
2022-04-29,1,28000,525,2 out of 8,1,"Balkrishna, Goregaon East",2,1,Bachelors/Family,1
2022-06-30,1,11000,390,Ground out of 4,2,Mira Road East,2,2,Bachelors/Family,1
2022-07-06,2,40000,755,12 out of 31,2,"Omkar Ananta, Goregaon East",2,2,Bachelors,2
2022-05-27,2,45000,700,3 out of 7,2,Oshiwara,2,1,Bachelors/Family,2
2022-06-10,2,180000,1000,6 out of 10,2,Bandra West,2,2,Bachelors,3
2022-06-24,3,160000,2000,Upper Basement out of 30,2,"Flora Heights, Andheri West",2,2,Family,3
2022-07-01,2,36000,650,3 out of 4,2,Tata Nagar,2,1,Family,2
2022-06-30,1,59000,470,26 out of 42,2,"Lodha New Cuffe Parade, Bhakti Park",2,2,Bachelors,1
2022-06-30,1,40000,450,3 out of 8,2,"TATA Housing Merwanjee Cama Park, Andheri West",2,2,Bachelors/Family,2
2022-05-10,2,40000,625,6 out of 10,1,Goregaon West,2,2,Bachelors/Family,2
2022-05-23,2,72000,700,3 out of 9,2,Gulmohar Road,2,2,Bachelors,2
2022-07-07,2,40000,600,4 out of 10,2,"Mindspace, Mindspace",2,1,Family,2
2022-06-11,2,16000,600,2 out of 3,2,Nerul sector-3,2,1,Family,1
2022-06-27,2,50000,1100,14 out of 22,1,"Magnum Tower CHS, Lokhandwala Complex",2,2,Bachelors/Family,4
2022-05-27,1,24000,370,5 out of 8,2,"Kanakia Sanskruti, Thakur Complex",2,2,Family,1
2022-07-09,2,65000,950,2 out of 45,2,"DB Woods, Gokuldham",2,2,Bachelors/Family,2
2022-07-07,2,33000,825,12 out of 13,1,Mulund East,2,1,Bachelors/Family,2
2022-06-16,2,27000,650,2 out of 7,2,Kandivali West,2,1,Bachelors,2
2022-06-14,2,52000,750,2 out of 9,2,Oshiwara,2,2,Bachelors/Family,2
2022-06-29,3,95000,900,4 out of 9,2,"Dosti Flamingo, Sewri",2,2,Family,3
2022-07-06,2,68000,805,12 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,3
2022-07-09,2,48000,742,17 out of 36,2,"Runwal Forests, Kanjurmarg West",2,1,Family,2
2022-06-30,2,32000,550,4 out of 7,2,"Shiv Ganga Apartment, Malad West",2,2,Bachelors/Family,2
2022-06-13,2,42000,745,10 out of 11,2,"Akruti Orchid Park, Sakinaka Junction",2,2,Bachelors/Family,2
2022-05-31,2,60000,800,2 out of 7,2,"Kenmore Apartment, Lokhandwala Complex",2,2,Family,2
2022-06-12,3,51500,1265,10 out of 28,2,"Ambrosia Apartment, Borivali East",2,1,Family,3
2022-07-09,3,130000,1800,10 out of 16,1,Lokhandwala Complex,2,1,Bachelors/Family,3
2022-06-27,1,25000,325,17 out of 24,2,"Mahalaxmi CHS, Worli",2,2,Bachelors/Family,1
2022-07-09,2,85000,902,41 out of 41,2,"Lodha Fiorenza, Goregaon East",2,2,Bachelors/Family,2
2022-07-06,3,98000,1233,14 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,4
2022-06-12,2,100000,750,Ground out of 6,1,Peddar Road,2,2,Bachelors/Family,2
2022-05-21,2,65000,600,14 out of 17,2,"Platinum Prive, Andheri West",2,1,Bachelors,2
2022-06-24,1,23000,500,3 out of 9,1,Chembur,2,1,Bachelors/Family,1
2022-07-02,2,40000,600,15 out of 20,2,Tilak Nagar - Harbour Line,2,1,Bachelors/Family,2
2022-06-23,3,45000,950,15 out of 17,2,IC Colony,2,1,Bachelors/Family,3
2022-06-27,1,40000,680,5 out of 7,1,"Ballerina Apartment, Lokhandwala Complex",2,2,Bachelors/Family,4
2022-07-07,1,23500,400,1 out of 7,2,"Midas Enclave CHS , Nandiadwala Colony",2,1,Bachelors/Family,1
2022-07-07,4,250000,2120,46 out of 76,2,"Lodha Marquise, Worli Sea Face",2,2,Bachelors/Family,5
2022-07-01,3,110000,1350,12 out of 20,2,"Atur Park, Chembur",2,2,Bachelors,4
2022-06-20,3,150000,1600,6 out of 7,2,JVPD Scheme,2,2,Bachelors/Family,3
2022-06-03,1,22000,430,4 out of 6,2,Thakur Complex,2,1,Family,1
2022-07-09,4,150000,1937,20 out of 30,2,"Raj Grandeur, Powai",2,2,Bachelors/Family,5
2022-06-07,2,75000,700,4 out of 7,2,Santacruz West,2,2,Bachelors,3
2022-05-22,2,41000,780,14 out of 18,2,"Nirmal Lifestyle, LBS Marg",2,1,Bachelors/Family,2
2022-06-02,4,150000,1300,5 out of 13,2,"Kabra Centroid, Kalina",2,2,Bachelors/Family,4
2022-06-20,3,150000,1350,18 out of 32,2,"Transcon Triumph, Lokhandwala Complex",2,2,Bachelors/Family,3
2022-05-14,2,53000,750,5 out of 18,2,Chembur,2,2,Bachelors/Family,2
2022-05-31,4,140000,1400,10 out of 25,2,"Adani Western Heights, Andheri West",2,2,Bachelors/Family,3
2022-06-28,4,200000,2000,17 out of 29,2,"Raj Grandeur, Hiranandani Gardens",2,2,Bachelors/Family,5
2022-06-30,2,65000,850,10 out of 31,2,"Vishnu Shivam Tower, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
2022-05-23,1,48000,500,4 out of 9,2,Gulmohar Road,2,2,Bachelors,1
2022-07-09,2,75000,900,10 out of 15,1,"7 Bungalow, Seven Bungalows",2,1,Bachelors/Family,2
2022-06-23,2,39000,750,1 out of 3,2,"Takshila CHS, Andheri East",2,2,Family,2
2022-07-09,3,70000,1100,18 out of 22,2,Chandivali,2,2,Bachelors/Family,2
2022-06-01,4,1200000,5000,4 out of 15,2,Juhu,2,2,Bachelors/Family,4
2022-04-29,1,25000,596,1 out of 7,1,Kandivali West,2,2,Bachelors/Family,1
2022-06-28,2,45000,680,3 out of 4,2,"DLH Orchid, Lokhandwala Complex",2,1,Bachelors,2
2022-05-17,4,190000,1950,11 out of 21,2,"Godrej Serenity Mumbai, Chembur",2,1,Bachelors/Family,4
2022-07-09,3,140000,1350,18 out of 32,2,"Transcon Triumph, Lokhandwala Complex",2,2,Bachelors/Family,3
2022-05-01,1,35000,510,3 out of 4,2,Chakala Cigarette Factory,2,2,Bachelors/Family,1
2022-06-20,1,60000,500,5 out of 7,2,"Green Gate Apartment, Pali Hill",2,2,Bachelors/Family,1
2022-04-29,1,15000,375,13 out of 16,1,Kanjurmarg East,2,1,Bachelors/Family,1
2022-05-21,1,39000,500,2 out of 7,2,Model Town,2,2,Family,1
2022-05-13,3,190000,1500,8 out of 10,2,Bandra West,2,2,Bachelors/Family,3
2022-06-20,3,84000,1000,18 out of 21,2,"Lake Primrose, Powai",2,2,Bachelors/Family,3
2022-05-31,3,68000,1260,27 out of 58,2,"Alta Monte, Pathanwadi",2,1,Family,3
2022-06-12,1,26000,475,8 out of 20,2,"Dreams Complex, Bhandup West",2,1,Bachelors/Family,2
2022-06-20,2,42000,620,6 out of 11,2,"NG Royal Park, Kanjurmarg East",2,2,Family,2
2022-06-28,1,35000,490,1 out of 6,2,Mukund Nagar,2,2,Bachelors/Family,1
2022-07-09,2,44000,710,13 out of 18,2,"Ajmera Bhakti Park, Bhakti Park",2,2,Bachelors/Family,2
2022-05-31,2,60000,720,4 out of 7,2,Sindhi Society Chembur,2,1,Bachelors/Family,2
2022-06-23,2,45000,770,2 out of 12,2,Goregaon West,2,2,Bachelors,2
2022-06-04,3,250000,1600,19 out of 25,1,"Chaitanya Towers, Prabhadevi",2,2,Bachelors/Family,3
2022-05-23,1,65000,500,Ground out of 5,2,Bandra West,2,2,Bachelors/Family,1
2022-05-14,1,20000,350,1 out of 8,1,Parel,2,1,Bachelors/Family,1
2022-07-09,2,75000,1000,3 out of 15,1,"7 Bungalow, Seven Bungalows",2,2,Bachelors/Family,2
2022-07-09,5,500000,3900,4 out of 6,2,Altamount Road,2,2,Bachelors/Family,5
2022-06-30,3,140000,1000,3 out of 7,2,Juhu,2,2,Family,3
2022-07-06,2,45000,660,25 out of 43,2,"Wadhwa Atmoshphere, Mulund West",2,2,Bachelors,2
2022-05-25,1,9400,600,4 out of 6,1,Bhayandar East,2,2,Bachelors/Family,1
2022-06-22,2,100000,900,2 out of 12,2,Santacruz West,2,2,Bachelors/Family,2
2022-06-20,2,65000,750,2 out of 3,2,"Ganpat Niketan Apartment, Khar West",2,2,Bachelors/Family,2
2022-05-31,2,230000,1000,2 out of 7,2,Bandra West,2,2,Bachelors/Family,2
2022-05-19,3,180000,1500,7 out of 12,2,Bandra West,2,2,Bachelors,3
2022-05-19,2,180000,1200,7 out of 12,2,Khar West,2,2,Bachelors/Family,3
2022-06-25,3,120000,1200,10 out of 14,2,Khar West,2,2,Bachelors/Family,3
2022-07-07,1,20000,280,11 out of 24,2,Century Bazaar,2,2,Bachelors/Family,1
2022-05-19,2,130000,1000,10 out of 12,2,Khar West,2,2,Bachelors,2
2022-05-19,3,400000,1800,7 out of 14,2,Pali Hill,2,2,Bachelors,4
2022-06-22,2,75000,694,1 out of 7,2,Bandra West,2,2,Bachelors/Family,2
2022-05-31,5,350000,3250,12 out of 18,2,Deonar,2,1,Family,5
2022-04-29,3,100000,1740,21 out of 22,1,Powai,2,2,Bachelors/Family,4
2022-06-16,2,55000,750,8 out of 14,2,Chembur,2,2,Bachelors/Family,2
2022-06-14,3,70000,1000,12 out of 20,2,"Nahar Amrit Shakti powai, Chandivali",2,2,Bachelors/Family,3
2022-06-29,1,30000,500,3 out of 4,1,Sion,2,2,Bachelors/Family,1
2022-06-28,4,330000,2000,11 out of 12,2,Mehboob Studio,2,2,Bachelors,5
2022-06-13,1,75000,550,7 out of 10,2,Bandra West,2,2,Bachelors/Family,2
2022-06-27,1,14000,270,6 out of 7,2,Poisar,2,1,Bachelors,1
2022-07-06,3,130000,960,9 out of 21,2,7 Bungalows Andheri West,2,2,Family,3
2022-04-29,3,40000,1200,2 out of 4,1,Kandivali West,2,2,Family,2
2022-05-27,2,46000,710,15 out of 18,2,"Ajmera Bhakti Park, Bhakti Park",2,1,Bachelors/Family,2
2022-07-04,1,27000,472,13 out of 14,2,"Marathon Embryo, Bhandup West",2,2,Bachelors,2
2022-05-26,2,95000,1000,10 out of 13,2,Bandra West,2,2,Bachelors/Family,2
2022-07-09,2,94000,800,14 out of 18,2,"Kanakia Hollywood, Sai Nagar",2,2,Family,2
2022-06-30,2,40000,650,7 out of 11,2,"Gaurav Heights, Kandivali West",2,1,Bachelors,2
2022-07-04,3,150000,1300,6 out of 7,2,Seven Bungalows,2,2,Bachelors/Family,3
2022-07-07,2,30000,600,2 out of 5,2,"Gokul Apartment, Evershine Nagar",2,1,Bachelors/Family,2
2022-06-16,2,95000,750,7 out of 10,2,Opera House,2,2,Bachelors,2
2022-06-16,2,130000,890,45 out of 77,2,"Lodha The Park, Worli",2,2,Family,2
2022-05-27,1,14000,421,3 out of 4,2,Borivali East,2,1,Bachelors/Family,1
2022-05-27,3,100000,1300,12 out of 24,2,"L&T Emerald Isle, Powai",2,2,Family,3
2022-07-05,1,35000,350,2 out of 3,1,Dadar West,2,1,Bachelors/Family,1
2022-06-07,2,57000,800,5 out of 20,2,"Nahar Amrit Shakti powai, Chandivali",2,2,Bachelors/Family,2
2022-07-06,2,45000,650,5 out of 6,2,Santacruz East,2,2,Bachelors/Family,2
2022-04-29,1,11000,650,18 out of 19,1,Mira Road,2,2,Bachelors/Family,2
2022-05-14,2,50000,650,10 out of 20,2,"Sheth Montana, Mulund West",2,2,Bachelors/Family,2
2022-05-27,2,35000,680,12 out of 20,2,"Parinee Adney, Borivali West",2,1,Bachelors/Family,2
2022-07-06,2,100000,800,1 out of 5,2,Bandra West,2,2,Bachelors/Family,2
2022-07-06,3,130000,1250,12 out of 29,2,"Adani Western Heights, 4 Bunglows",2,2,Family,3
2022-05-23,1,52000,475,10 out of 18,2,Shivaji Park,2,1,Bachelors/Family,1
2022-07-07,2,28000,600,1 out of 5,2,"Gokul Apartment, Evershine Nagar",2,1,Bachelors/Family,2
2022-04-29,1,18000,450,2 out of 4,1,"Nem Vihar, Mulund West",2,1,Bachelors/Family,1
2022-06-04,1,30000,400,3 out of 6,1,Bhatti Pada,2,1,Bachelors,1
2022-07-06,3,45000,985,Lower Basement out of 18,2,"Gemstar Symphony Apartment, Kandivali West",2,1,Family,3
2022-05-27,3,130000,1450,3 out of 7,2,Shivaji Park,2,1,Bachelors,3
2022-05-27,2,58000,650,15 out of 24,2,"L&T Emerald Isle, Powai",2,2,Family,2
2022-07-06,2,65000,805,48 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,3
2022-05-27,1,24000,650,3 out of 4,1,Malad East,2,2,Bachelors/Family,1
2022-07-09,1,54500,515,12 out of 42,2,"Lodha New Cuffe Parade, Wadala East",2,1,Bachelors/Family,1
2022-06-12,3,70000,1000,15 out of 20,2,Chandivali,2,2,Bachelors/Family,2
2022-06-07,3,67000,1050,6 out of 8,2,Chembur,2,2,Family,3
2022-07-09,2,75000,777,17 out of 22,2,"Hiranandani Castle Rock, Powai",2,2,Bachelors/Family,2
2022-06-11,2,45000,831,16 out of 22,2,"Kaustubh Platinum, Datta Pada",2,1,Family,2
2022-07-06,3,98000,1233,35 out of 68,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,4
2022-06-11,1,16000,250,4 out of 10,2,Charkop,2,1,Bachelors/Family,1
2022-05-14,2,95000,900,18 out of 30,2,"Oberoi Springs, Andheri West",2,2,Bachelors,2
2022-07-06,2,40000,753,11 out of 31,2,"Omkar Ananta, Film City Road",2,1,Bachelors/Family,2
2022-06-10,3,300000,1800,8 out of 12,2,Bandra West,2,2,Bachelors,3
2022-07-06,2,80000,670,5 out of 17,2,Matunga East,2,1,Bachelors,2
2022-07-09,4,380000,2800,50 out of 75,2,"Omkar 1973, Worli",2,2,Bachelors/Family,4
2022-07-09,3,160000,1197,18 out of 26,2,"Aristo Pearl Residency, Prabhadevi",2,2,Bachelors/Family,3
2022-06-27,2,44000,880,12 out of 27,2,orchid suburbia,2,1,Bachelors,2
2022-05-16,2,200000,1000,7 out of 8,2,Union Park,2,2,Bachelors/Family,2
2022-04-29,2,65000,935,2 out of 7,1,Andheri West,2,2,Bachelors/Family,2
2022-07-06,2,50000,751,16 out of 20,2,"Raj Legacy, Vikhroli West",2,2,Bachelors/Family,2
2022-07-04,1,6000,200,Ground out of 5,1,"Sonal Apartment, Bhandari Compound",2,1,Bachelors/Family,1
2022-06-13,4,280000,2500,24 out of 55,2,"Island City Centre, Dadar East",2,2,Bachelors/Family,6
2022-07-09,1,46000,500,6 out of 8,2,"Sundar Nagar, Kalina",2,2,Family,1
2022-05-31,1,35000,430,15 out of 23,2,"Conwood Astoria, Film City Road",2,2,Bachelors/Family,1
2022-07-06,3,75000,1088,16 out of 37,2,"Sunteck City Avenue 1, Goregaon West",2,2,Bachelors/Family,3
2022-05-10,1,20000,330,4 out of 8,2,Andheri West,2,2,Bachelors/Family,1
2022-04-29,1,25000,400,Upper Basement out of 7,2,shanti kutir tunga village powai,2,1,Bachelors/Family,1
2022-06-27,3,110000,1200,6 out of 15,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
2022-06-28,2,29500,700,2 out of 7,2,Borivali West,2,1,Bachelors/Family,2
2022-07-09,3,53000,1000,16 out of 32,2,"Mahindra Splendour, Bhandup West",2,2,Bachelors/Family,2
2022-06-12,2,85000,750,11 out of 27,2,"Hiranandani Atlantis, Hiranandani Gardens",2,2,Bachelors/Family,2
2022-06-12,1,26000,450,6 out of 10,2,Goregaon West,2,1,Bachelors,2
2022-04-29,1,33000,640,11 out of 23,1,Bhandup West,2,2,Bachelors/Family,2
2022-07-08,3,180000,1190,5 out of 12,2,"L Nagpal Ruby, Turner Road",2,2,Bachelors/Family,3
2022-06-23,3,70000,850,5 out of 8,1,Chembur,2,1,Bachelors,3
2022-07-07,1,17000,330,Ground out of 7,2,Jankalyan Nagar,2,2,Bachelors/Family,1
2022-05-13,2,37000,685,10 out of 18,2,Mulund West,2,2,Bachelors,2
2022-06-12,1,27000,400,6 out of 10,2,Goregaon West,2,1,Bachelors,2
2022-06-15,1,35500,500,8 out of 13,2,"Mayfair Sonata Greens, Park Site Colony",2,2,Bachelors/Family,2
2022-05-24,1,24000,550,2 out of 4,2,Mulund West,2,1,Bachelors,1
2022-06-11,4,250000,2500,2 out of 8,2,Juhu,2,1,Bachelors/Family,4
2022-05-14,3,180000,1100,6 out of 15,2,JVPD Scheme,2,2,Family,3
2022-05-31,2,18500,650,3 out of 12,2,"Swayam Apartment, Poonam Gardens",2,1,Family,2
2022-07-09,3,200000,1400,8 out of 17,2,"Hill Road, Bandra West",2,2,Bachelors/Family,3
2022-07-04,2,70000,1050,14 out of 15,2,"Godrej Prime, Chembur",2,2,Bachelors/Family,2
2022-06-04,3,55000,850,6 out of 7,2,Goregaon West,2,1,Bachelors,3
2022-05-23,1,24000,550,Ground out of 4,2,Ghatkopar West,2,1,Bachelors,1
2022-06-23,2,55000,750,5 out of 8,2,Chandivali,2,2,Bachelors/Family,2
2022-07-09,3,150000,1350,23 out of 25,2,"Kalpataru Antariksha, Prabhadevi",2,2,Bachelors/Family,3
2022-06-25,2,50000,800,5 out of 8,2,Santacruz East,2,2,Bachelors/Family,2
2022-07-06,4,300000,2650,14 out of 48,2,"Lodha Bellissimo, Mahalakshmi",2,2,Bachelors/Family,3
2022-07-06,3,90100,975,29 out of 35,2,Goregaon East,2,2,Bachelors/Family,2
2022-06-16,3,57000,1325,15 out of 36,2,"Raheja Exotica Sorento, Madh",2,2,Bachelors/Family,4
2022-04-29,2,40000,700,3 out of 6,1,Andheri West,2,2,Bachelors/Family,2
2022-07-09,2,80000,700,3 out of 8,2,Hindu Colony,2,2,Family,2
2022-06-23,2,95000,850,15 out of 25,2,Powai,2,2,Bachelors/Family,2
2022-06-22,1,14000,305,10 out of 24,2,Ekta Nagar,2,1,Bachelors,1
2022-06-14,2,50000,850,8 out of 10,2,"Dsk Madhuban, Sakinaka Junction",2,1,Bachelors/Family,2
2022-06-14,2,43000,724,6 out of 11,2,"Akruti Orchid Park, Sakinaka Junction",2,1,Bachelors/Family,2
2022-06-12,2,55000,650,8 out of 16,2,Andheri West,2,2,Bachelors,2
