,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
1134,2022-05-26,2,47000,785,4 out of 7,2,JB Nagar,2,2,Bachelors/Family,2
1135,2022-06-27,3,75000,1250,15 out of 20,2,"Laksharia Tower, Andheri West",2,2,Family,3
1136,2022-07-07,4,45000,1016,3 out of 36,2,"Oasis, Lokhandwala Twp",2,1,Bachelors/Family,3
1137,2022-05-28,1,36000,380,12 out of 20,2,Mazgaon,2,1,Bachelors/Family,2
1138,2022-05-14,1,40000,475,18 out of 23,2,"Sanghvi Evana, Worli",2,1,Bachelors,1
1139,2022-07-03,1,40000,444,8 out of 11,2,Sakinaka Junction,2,1,Bachelors,2
1140,2022-06-20,2,32000,640,6 out of 20,2,"GSA Grandeur, Gokuldham",2,1,Bachelors/Family,2
1141,2022-06-02,1,17000,320,23 out of 23,2,"Midas PMGP Mhada Colony, PMGP Colony",2,1,Bachelors/Family,1
1142,2022-05-13,3,77000,1100,16 out of 21,2,"Auris Serenity, Adarsh Nagar",2,1,Bachelors/Family,4
1143,2022-06-16,4,290000,1500,5 out of 15,2,"Benchmark Solus, Waterfield Road",2,2,Bachelors/Family,3
1144,2022-05-18,2,35000,650,6 out of 8,2,"Evershine Millenium Paradise, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
1145,2022-05-19,1,40000,508,16 out of 18,2,"Kanakia Sevens, Marol Maroshi Road",2,2,Bachelors/Family,2
1146,2022-07-09,4,250000,2500,2 out of 10,2,JVPD Scheme,2,2,Bachelors/Family,4
1147,2022-05-22,2,47000,720,Upper Basement out of 16,2,Chembur,2,1,Bachelors,2
1148,2022-04-29,2,50000,750,Ground out of 5,1,D.N. Nagar,2,1,Bachelors/Family,2
1149,2022-06-27,1,32000,430,2 out of 3,2,"Sion East, Sion Koliwada",2,1,Family,1
1150,2022-06-20,2,8000,623,6 out of 7,2,"Shreenath nagar, Morya Nagar",2,1,Family,2
1151,2022-07-09,3,240000,1358,40 out of 50,2,"Lodha Kiara, Worli Hill",2,2,Family,4
1152,2022-07-07,3,85000,1000,4 out of 11,2,"Lodha Eternis, Chakala MIDC",2,2,Bachelors/Family,3
1153,2022-06-28,3,65000,1100,25 out of 28,2,"Sejal Tower, Goregaon West",2,1,Bachelors,3
1154,2022-07-03,3,75000,1255,12 out of 17,2,Bhakti Park,2,2,Bachelors/Family,3
1155,2022-05-27,1,26500,450,5 out of 8,2,"Vasant Sagar, Thakur Village, Kandivali East",2,2,Family,2
1156,2022-06-16,2,45000,650,3 out of 7,2,"Akruti Aneri, Marol",2,2,Bachelors/Family,2
1157,2022-07-06,2,95000,955,34 out of 40,2,"Lodha New Cuffe Parade, Bhakti Park",2,2,Bachelors,2
1158,2022-05-22,2,38000,700,Upper Basement out of 22,2,"Altavista, Chembur",2,1,Bachelors/Family,2
1159,2022-07-06,3,260000,1915,8 out of 23,1,"Ashford Casa Grande, Lower Parel",2,2,Family,4
1160,2022-06-03,4,300000,2308,9 out of 31,2,"Windsor Grande Residences, Andheri West",2,2,Bachelors/Family,6
1161,2022-07-09,3,180000,1250,11 out of 13,2,"Ekta Trinity, Santacruz West",2,2,Family,3
1162,2022-06-04,2,40000,625,6 out of 14,2,"Kailash Tower, Powai",2,2,Bachelors,2
1163,2022-05-17,4,300000,2200,7 out of 8,2,JVPD Scheme,2,2,Family,4
1164,2022-06-20,2,85000,870,5 out of 21,2,"Royal Residency, Lal Baug",2,2,Bachelors/Family,2
1165,2022-06-04,3,110000,1300,4 out of 12,2,Kalina,2,2,Bachelors/Family,3
1166,2022-06-23,2,40000,750,2 out of 8,2,"Techno Park I, Kandivali East",2,1,Family,2
1167,2022-07-06,2,45000,750,2 out of 8,1,Andheri East,2,2,Bachelors,2
1168,2022-06-04,2,52000,550,3 out of 9,2,Kalina,2,2,Bachelors/Family,2
1169,2022-07-06,4,90000,1250,2 out of 7,2,Andheri West,2,2,Family,4
1170,2022-07-09,3,140000,1400,11 out of 13,2,"Insignia, Bandra Kurla Complex",2,2,Family,3
1171,2022-06-23,3,150000,1330,32 out of 59,2,"Oberoi Esquire, Goregaon East",2,2,Family,4
1172,2022-06-23,3,65000,1000,5 out of 10,2,Chembur,2,2,Bachelors/Family,3
1173,2022-05-31,2,50000,770,4 out of 14,2,"Sufalam CHS, Chembur East",2,1,Bachelors/Family,2
1174,2022-06-16,2,54000,800,3 out of 7,2,"Shimpla Vighnaharta CHS, Seven Bungalows",2,1,Family,2
1175,2022-05-29,4,180000,1691,20 out of 32,2,"Oberoi Prisma, Agarkar Chowk",2,2,Bachelors/Family,6
1176,2022-05-14,1,60000,550,12 out of 20,2,"Neumec Elegance, Lower Parel",2,2,Bachelors,2
1177,2022-07-09,2,65000,800,10 out of 14,2,Andheri West,2,1,Family,2
1178,2022-07-09,2,35000,615,6 out of 14,2,"Aspire, Thakur Village, Kandivali East",2,1,Family,2
1179,2022-06-25,2,43000,663,25 out of 43,2,"Wadhwa Atmosphere, Mulund West",2,1,Bachelors/Family,2
1180,2022-06-16,1,20000,400,3 out of 4,2,Bhandup,2,2,Bachelors/Family,1
1181,2022-06-04,2,57000,625,9 out of 18,2,"Panch Complex, Powai",2,2,Bachelors,2
1182,2022-06-16,4,130000,1432,12 out of 20,2,"Sabari Ashville, Chembur East",2,1,Bachelors/Family,3
1183,2022-05-24,1,25000,425,3 out of 5,2,Mulund West,2,1,Bachelors,1
1184,2022-06-12,2,56000,649,5 out of 22,2,"Promenade At The Address, Ghatkopar West",2,2,Bachelors,2
1185,2022-05-14,2,55000,905,10 out of 37,2,"Sunteck City Avenue 1, Goregaon West",2,1,Bachelors,2
1186,2022-04-27,2,18000,882,10 out of 22,1,"DB Ozone, Mira Road",2,1,Bachelors,2
1187,2022-06-27,3,100000,1200,4 out of 15,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
1188,2022-05-31,2,76000,736,16 out of 36,2,"Rustomjee Elanza, Mindspace",2,1,Family,2
1189,2022-07-09,3,270000,1710,25 out of 48,2,"Lodha Bellissimo, Mahalakshmi",2,2,Bachelors/Family,3
1190,2022-06-24,1,45000,225,3 out of 6,2,"simla house at nepeasea road, Napean Sea Road",2,1,Bachelors,1
1191,2022-05-22,2,39000,720,Upper Basement out of 22,2,"Altavista, Chembur",2,1,Bachelors/Family,2
1192,2022-06-07,1,12500,555,6 out of 7,1,"Hubtown Gardenia, Mira Road",2,1,Bachelors,1
1193,2022-07-07,1,35000,415,2 out of 7,1,Andheri East,2,1,Bachelors/Family,1
1194,2022-06-12,2,55000,649,4 out of 22,2,"Promenade At The Address, Ghatkopar West",2,2,Bachelors,2
1195,2022-06-15,3,90000,1000,3 out of 3,2,Vile Parle West,2,2,Bachelors,2
1196,2022-06-04,2,250000,1300,Upper Basement out of 10,2,Khar West,2,2,Bachelors/Family,2
1197,2022-06-24,2,25000,1065,15 out of 15,1,"Gaurav Excellency, Mira Road",2,2,Bachelors/Family,2
1198,2022-07-08,2,90000,854,15 out of 20,2,"Kanakia Paris, Bandra Kurla Complex",2,2,Bachelors/Family,2
1199,2022-06-27,3,120000,1200,5 out of 14,2,"Salvation CHS, Dadar West",2,2,Bachelors/Family,3
1200,2022-06-06,1,55000,500,8 out of 18,2,Hiranandani Gardens,2,1,Bachelors,1
1201,2022-05-31,3,70000,906,7 out of 10,2,"Sanjona Gulmarg Towers, Chembur East",2,2,Bachelors/Family,3
1202,2022-06-22,3,300000,1800,11 out of 11,2,Bandra West,2,2,Bachelors/Family,4
1203,2022-05-26,2,25000,500,1 out of 3,2,New Devchhaya Building,2,2,Bachelors/Family,1
1204,2022-06-16,1,35000,450,2 out of 7,1,Goregaon West,2,1,Bachelors/Family,1
1205,2022-07-09,3,120000,1130,3 out of 7,2,Bandra West,2,2,Bachelors/Family,3
1206,2022-06-04,1,27000,495,5 out of 7,1,Andheri East,2,2,Bachelors/Family,2
1207,2022-05-19,1,25000,407,5 out of 23,1,Devi Pada,2,1,Bachelors/Family,2
1208,2022-06-16,3,150000,1092,60 out of 77,2,"Lodha The Park, Worli",2,2,Family,3
1209,2022-07-07,2,32000,610,11 out of 18,2,"The Windsor, Kandivali East",2,1,Family,2
1210,2022-07-07,1,40000,500,13 out of 14,1,"Manavsthal, Andheri East",2,2,Bachelors/Family,2
1211,2022-05-31,2,52000,750,4 out of 20,2,"vanamali chs ghatla, Ghatla",2,1,Bachelors/Family,2
1212,2022-06-18,2,80000,750,6 out of 16,2,"lokhandwala residency, Worli",2,2,Bachelors,2
1213,2022-06-23,2,55000,850,6 out of 10,2,"Adityavardhan Apartment, Raheja Vihar",2,2,Bachelors/Family,2
1214,2022-06-04,1,30000,350,5 out of 16,2,Prabhadevi,2,1,Bachelors/Family,1
1215,2022-06-04,1,20000,300,2 out of 12,2,"Sundar Nagar, Kalina",2,2,Bachelors/Family,1
1216,2022-05-23,1,85000,695,2 out of 7,2,Union Park,2,2,Bachelors/Family,2
1217,2022-06-16,1,40000,415,15 out of 22,2,"Kanakia Rainforest, Andheri East",2,2,Bachelors/Family,2
1218,2022-06-25,1,21000,450,3 out of 13,2,Bhandup Village,2,1,Bachelors,2
1219,2022-06-23,3,43000,850,8 out of 14,2,"Aspire, Kandivali East",2,1,Family,3
1220,2022-05-11,2,58000,805,30 out of 58,2,"Auris Serenity, Link Road",2,2,Bachelors/Family,3
1221,2022-07-06,2,130000,700,7 out of 10,2,Bandra West,2,2,Bachelors/Family,2
1222,2022-04-13,3,260000,1800,10 out of 11,2,JVPD Scheme,2,2,Family,4
1223,2022-06-27,2,46000,669,15 out of 43,2,"Tulip at Runwal Forests, Kanjurmarg West",2,1,Bachelors,2
1224,2022-06-23,1,6500,325,7 out of 16,2,"Unicorn Global Arena, Naigaon East",2,1,Family,1
1225,2022-05-31,1,21000,600,5 out of 6,1,Sher E Punjab Society,2,2,Bachelors/Family,1
1226,2022-05-22,2,46000,725,Upper Basement out of 16,2,Chembur,2,1,Bachelors/Family,2
1227,2022-06-03,2,60000,750,5 out of 9,2,"Green Woods Chkala, Andheri East",2,2,Bachelors/Family,2
1228,2022-06-29,3,65000,1050,13 out of 21,2,"Hillcrest, Andheri East",2,2,Bachelors,3
1229,2022-05-19,2,15000,600,18 out of 28,2,Shilphata,2,1,Bachelors/Family,2
1230,2022-06-28,2,130000,1000,10 out of 13,2,Bandra West,2,2,Bachelors/Family,2
1231,2022-07-04,3,90000,1110,9 out of 55,2,"Omkar Alta Monte, Kurar Village",2,2,Bachelors/Family,3
1232,2022-07-09,2,62000,650,11 out of 25,2,Jacob Circle,2,1,Family,2
1233,2022-06-08,3,160000,1100,8 out of 10,2,Santacruz West,2,2,Bachelors/Family,3
1234,2022-06-23,3,80000,1100,15 out of 28,2,"Godrej Central, Chembur",2,1,Bachelors/Family,3
1235,2022-07-04,3,80000,1110,49 out of 55,2,"Omkar Alta Monte, Kurar Village",2,2,Bachelors/Family,3
1236,2022-06-28,3,55000,999,14 out of 23,2,"Orchid Residency, Link Road",2,2,Family,2
1237,2022-06-22,3,100000,1000,2 out of 4,2,Santacruz West,2,2,Bachelors/Family,3
1238,2022-07-09,4,200000,2200,11 out of 20,2,Seven Bungalows,2,2,Bachelors/Family,5
1239,2022-06-02,3,100000,1256,10 out of 22,2,"Satyam Springs, Deonar",2,2,Family,3
1240,2022-07-06,2,79500,750,17 out of 20,2,"Hiranandani Castle Rock, Hiranandani Gardens",2,2,Family,2
1241,2022-07-06,3,84500,889,7 out of 27,2,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",2,2,Bachelors/Family,2
1242,2022-06-12,2,100000,750,14 out of 27,2,"Hiranandani Atlantis, Hiranandani Gardens",2,2,Bachelors/Family,2
1243,2022-05-17,1,13000,385,6 out of 20,2,"Aims Sea View, Indralok",2,1,Family,1
1244,2022-06-16,4,100000,1454,5 out of 7,2,"diamond garden, Chembur East",2,1,Bachelors/Family,4
1245,2022-07-06,1,35000,480,1 out of 7,2,Seven Bungalows,2,2,Family,2
1246,2022-05-23,2,72000,660,12 out of 22,2,"Hiranandani Castle Rock, Hiranandani Gardens",2,2,Bachelors/Family,2
1247,2022-06-22,3,180000,1600,9 out of 16,2,Bandra West,2,2,Bachelors/Family,3
1248,2022-07-06,1,26000,434,5 out of 22,2,"Samarth Srishti, Bhandup West",2,2,Bachelors/Family,2
1249,2022-05-31,3,72000,1121,7 out of 14,2,"Hari Kunj II, Sindhi Society Chembur",2,1,Bachelors/Family,3
1250,2022-06-28,1,8000,620,6 out of 8,1,Virar,2,2,Bachelors/Family,2
1251,2022-07-07,3,130000,937,16 out of 27,2,"Runwal Elegante, Andheri West",2,2,Family,2
1252,2022-06-12,1,52000,470,6 out of 7,2,"Godrej The Trees, Vikhroli East",2,2,Bachelors/Family,2
1253,2022-06-12,1,13000,410,2 out of 7,2,Mira Road East,2,1,Family,1
1254,2022-06-16,3,45000,850,5 out of 7,2,Mulund West,2,1,Family,3
1255,2022-07-09,3,180000,1500,15 out of 20,2,"Purushottam Towers, Dadar West",2,2,Bachelors/Family,4
1256,2022-07-09,2,63000,888,12 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",2,2,Bachelors/Family,2
1257,2022-06-28,1,7500,380,3 out of 7,2,sunanda circal,2,1,Bachelors,2
1258,2022-07-06,1,30000,360,4 out of 20,2,"Antop Hill, Wadala",2,1,Bachelors/Family,1
1259,2022-07-07,1,28500,565,1 out of 8,1,Kandivali East,2,2,Bachelors/Family,2
1260,2022-07-07,3,100000,2000,25 out of 50,1,"Auris Serenity, Malad West",2,2,Bachelors/Family,4
1261,2022-06-23,4,270000,1358,25 out of 50,2,"Lodha Kiara, Worli Hill",2,2,Family,4
1262,2022-07-09,2,38000,661,17 out of 36,2,"Runwal Forests, Kanjurmarg West",2,2,Bachelors/Family,2
1263,2022-07-06,1,26000,450,9 out of 20,2,"Ratan Silicon Park, Jankalyan Nagar",2,1,Family,2
1264,2022-05-14,3,70000,1300,6 out of 30,2,Goregaon West,2,1,Bachelors,3
1265,2022-06-04,2,41000,600,4 out of 8,2,"Vasant Oscar, Mulund West",2,2,Family,2
1266,2022-04-27,2,27000,900,Ground out of 4,1,Mahatama Gandhi Road,2,2,Bachelors/Family,3
1267,2022-06-30,1,53000,379,21 out of 23,2,"Hiranandani Regent Hill, Powai",2,2,Bachelors,1
1268,2022-05-18,2,65000,805,8 out of 58,2,"Auris Serenity, Kanch Pada",2,2,Family,3
1269,2022-05-14,1,85000,650,3 out of 8,1,Malabar Hill,2,2,Bachelors/Family,2
1270,2022-04-28,1,6000,500,8 out of 10,1,Naigaon East,2,2,Bachelors/Family,2
1271,2022-06-20,1,43000,480,5 out of 7,2,Seven Bungalows,2,2,Family,2
1272,2022-06-23,2,65000,550,1 out of 7,1,"Dr Babasaheb Ambedkar Road, Mumbai",2,2,Bachelors/Family,2
1273,2022-06-08,3,280000,1600,5 out of 12,2,Bandra West,2,2,Bachelors/Family,3
1274,2022-06-28,3,98000,1400,4 out of 15,2,"Hubtown Sunmist, Chakala",2,2,Family,2
1275,2022-06-15,3,330000,1500,20 out of 41,2,"Indiabulls Blu, Worli",2,2,Bachelors/Family,2
1276,2022-07-09,3,65000,1050,3 out of 62,2,"Alpine, Kandivali East",2,1,Bachelors,3
1277,2022-07-06,3,85000,920,4 out of 13,2,Ghatkopar East,2,1,Family,3
1278,2022-07-07,1,40000,450,8 out of 13,2,"Ajmera Bhakti Park, Bhakti Park",2,2,Bachelors/Family,1
1279,2022-07-07,1,23000,440,Ground out of 4,2,in Kandivali West,2,2,Bachelors,1
1280,2022-05-10,3,55000,932,3 out of 8,1,Ghatkopar West,2,1,Bachelors/Family,3
1281,2022-04-27,1,15000,270,15 out of 15,2,chakala andheri east,2,1,Bachelors,2
1282,2022-06-30,1,52000,379,23 out of 23,2,"Hiranandani Regent Hill, Powai",2,2,Bachelors,2
1283,2022-05-26,2,13000,582,5 out of 8,2,Lodha casa rio,2,2,Family,2
1284,2022-06-28,2,95000,800,6 out of 8,2,"Pali Hill Apartment, Pali Hill",2,2,Bachelors/Family,2
1285,2022-07-06,1,25000,444,7 out of 17,2,"Srishti Solitaire, Bhandup Industrial Estate",2,1,Bachelors/Family,2
1286,2022-06-04,1,21000,428,12 out of 21,2,"Godrej Tranquil, Lokhandwala Twp",2,1,Bachelors/Family,1
1288,2022-07-06,2,60000,888,5 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",2,2,Bachelors/Family,2
1289,2022-05-31,1,19000,490,Ground out of 8,1,Bhandup East,2,1,Bachelors/Family,1
1290,2022-06-16,3,140000,937,28 out of 39,2,"Sheth Beaumonte, Sion Koliwada",2,1,Family,4
1291,2022-05-13,2,30000,710,12 out of 21,2,"Gokul Gagan, Thakur Village, Kandivali East",2,1,Family,2
1292,2022-05-18,4,130000,1617,15 out of 58,2,"Auris Serenity, Kanch Pada",2,2,Bachelors/Family,5
1293,2022-05-24,2,80000,836,6 out of 23,2,"TATA Falcon Crest, Parel",2,1,Bachelors/Family,2
1294,2022-07-06,2,85000,1200,36 out of 45,2,"Crescent Bay T3, Bhoiwada",2,2,Bachelors/Family,3
1295,2022-07-07,2,65000,950,9 out of 28,2,"Vishnu Shivam Tower, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
1296,2022-07-09,1,33000,460,10 out of 25,2,"Conwood Astoria, Goregaon East",2,2,Bachelors/Family,2
1297,2022-07-09,1,36000,585,10 out of 14,1,"Odyssey Bhakti Park, Bhakti Park",2,2,Bachelors/Family,2
1298,2022-06-12,2,22000,550,2 out of 7,2,"Salasar Garden, Beverly Park",2,2,Family,2
1299,2022-06-16,1,17000,375,9 out of 20,2,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",2,1,Bachelors/Family,1
1300,2022-06-03,2,55000,700,10 out of 20,2,"Raj Legacy, Vikhroli West",2,2,Bachelors/Family,2
1301,2022-07-09,2,66000,750,2 out of 8,2,"Sundar Nagar, Kalina",2,1,Family,2
1302,2022-07-09,4,140000,2000,6 out of 45,2,"DB Woods, Gokuldham",2,2,Family,4
1303,2022-07-06,4,260000,2046,22 out of 52,2,"Oberoi Esquire, Goregaon East",2,2,Bachelors/Family,5
1304,2022-06-28,2,32000,750,3 out of 7,1,"Shree Sai Usha Complex, Bhandup West",2,2,Bachelors/Family,2
1305,2022-06-27,2,45000,730,5 out of 17,2,"Raheja Heights, Malad East",2,1,Family,2
1306,2022-05-17,2,50000,750,10 out of 20,2,"Hillcrest, Andheri East",2,2,Bachelors/Family,2
1307,2022-04-29,1,18500,229,5 out of 9,1,Vile Parle,2,2,Bachelors/Family,1
1308,2022-06-29,2,51000,910,10 out of 19,2,"Rivali Park, Borivali East",2,1,Bachelors,2
1309,2022-06-04,4,140000,1648,21 out of 58,2,"Sheth Auris Serinity, Malad West",2,2,Bachelors/Family,5
1310,2022-07-09,3,80000,1100,48 out of 54,2,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",2,1,Family,3
1311,2022-06-26,1,30000,560,2 out of 4,2,Ghatkopar East,2,1,Bachelors,2
1312,2022-06-30,2,85000,850,4 out of 6,2,Andheri West,2,1,Bachelors/Family,2
1313,2022-06-16,1,15000,450,2 out of 4,1,Dahisar East,2,1,Family,1
1314,2022-05-31,2,50000,820,7 out of 28,2,"Raheja Heights, BMC Colony Malad East",2,2,Bachelors/Family,2
1315,2022-05-31,2,60000,750,10 out of 20,2,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",2,1,Bachelors/Family,2
1316,2022-07-07,1,23000,410,4 out of 7,2,"Midas Enclave CHS , Nandiadwala Colony",2,1,Bachelors/Family,1
1317,2022-05-02,1,14500,490,12 out of 20,2,Ketki Pada,2,1,Bachelors/Family,2
1318,2022-06-30,2,40000,700,11 out of 15,2,Collector Colony,2,1,Bachelors/Family,2
1320,2022-05-23,1,80000,560,1 out of 7,2,Waterfield Road,2,2,Bachelors/Family,1
1321,2022-07-07,2,55000,650,8 out of 18,2,"White Lily Apartment, Bhandup East",2,1,Bachelors/Family,2
1322,2022-05-31,1,12000,520,2 out of 3,1,in Mira Road,2,2,Bachelors/Family,1
1323,2022-07-09,2,45000,850,9 out of 12,2,"Eco Residency, Andheri East",2,1,Bachelors/Family,2
1324,2022-07-09,2,90000,777,19 out of 22,2,"Hiranandani Castle Rock, Hiranandani Gardens",2,2,Bachelors/Family,2
1325,2022-07-06,2,43000,771,15 out of 37,2,"Kalpataru Crest, Bhandup West",2,1,Bachelors/Family,2
1326,2022-07-07,1,22000,400,3 out of 7,2,"Midas Enclave CHS , Nandiadwala Colony",2,1,Bachelors/Family,1
1327,2022-06-26,2,20000,600,7 out of 7,2,"Marigold-5, Beverly Park",2,2,Family,2
1328,2022-07-04,1,26000,390,Upper Basement out of 7,2,"Greenfields CHS, Andheri East",2,2,Bachelors/Family,2
1329,2022-06-23,4,850000,3200,2 out of 4,2,Breach Candy,2,2,Bachelors/Family,4
1330,2022-06-27,1,34999,450,5 out of 12,2,"HDIL Premier Residences, Kurla West",2,2,Bachelors/Family,2
1331,2022-06-04,1,35000,500,7 out of 23,1,Powai,2,2,Bachelors/Family,2
1332,2022-05-13,1,50000,410,6 out of 12,2,Dadar East,2,2,Bachelors/Family,1
1333,2022-06-03,1,16000,160,2 out of 3,2,Lal Baug,2,1,Bachelors/Family,1
1334,2022-05-14,2,55000,750,10 out of 14,2,Chandivali,2,1,Bachelors/Family,2
1335,2022-06-02,1,39000,585,3 out of 7,1,"Chanchal Kalyan Complex, Yari Road",2,1,Family,2
1336,2022-06-16,3,100000,1300,12 out of 24,2,"L&T Emerald Isle, Powai",2,2,Family,3
1337,2022-06-10,1,25000,350,2 out of 17,2,Ghatla,2,2,Bachelors/Family,1
1338,2022-05-05,1,25000,490,3 out of 7,1,Kandivali East,2,2,Bachelors/Family,2
1339,2022-07-06,2,49500,650,5 out of 16,2,Juhu Versova Link Road,2,1,Family,2
1340,2022-06-10,1,21000,225,6 out of 24,2,Lower Parel,2,1,Bachelors/Family,1
1341,2022-06-20,2,110000,850,5 out of 13,2,Pali Hill,2,2,Bachelors/Family,2
1342,2022-07-07,1,21000,385,Ground out of 5,1,in Santacruz East,2,1,Bachelors/Family,1
1343,2022-07-09,2,46700,800,2 out of 7,2,"Milap CHS, Seven Bungalows",2,1,Family,2
1344,2022-06-22,4,400000,2500,5 out of 12,2,Bandra West,2,2,Bachelors/Family,4
1345,2022-05-14,4,280000,1526,76 out of 78,2,"Lodha Marquise, Worli",2,2,Bachelors/Family,5
1346,2022-05-27,1,18000,300,3 out of 10,1,Kurla West,2,1,Bachelors/Family,1
1347,2022-07-06,3,80000,1800,10 out of 13,1,"Sabari Palm View, Chembur",2,2,Bachelors/Family,3
1348,2022-06-28,2,88000,800,5 out of 20,2,"Kanakia Paris, Bandra Kurla Complex",2,2,Bachelors/Family,2
1349,2022-05-17,3,90000,890,20 out of 27,2,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",2,2,Family,2
1350,2022-05-18,2,38000,700,14 out of 23,2,"Sky Villa, Gokuldham",2,1,Bachelors/Family,2
1351,2022-07-07,1,20000,465,3 out of 4,1,in Borivali East,2,2,Bachelors,1
1352,2022-06-20,2,140000,900,8 out of 36,2,"Marathon Next Gen Era, Lower Parel",2,2,Family,2
1353,2022-05-17,3,78000,1073,8 out of 20,2,"Raheja Ridgewood, Goregaon East",2,2,Bachelors/Family,3
1354,2022-05-23,1,21000,450,4 out of 7,1,Chembur,2,1,Bachelors/Family,1
1355,2022-06-27,3,95000,1350,8 out of 16,2,"Rajesh Raj Classic, Yari Road",2,2,Bachelors/Family,3
1356,2022-06-30,2,90000,800,5 out of 8,2,"Band Stand, Bandra Band Stand",2,2,Bachelors/Family,2
1357,2022-06-04,2,34000,600,4 out of 7,2,"Shiv Dham Apartment, Goregaon East",2,1,Bachelors,2
1358,2022-06-30,2,55000,650,5 out of 15,2,Sion Trombay Road,2,1,Bachelors/Family,2
1359,2022-05-18,2,52000,550,3 out of 3,2,Dadar East,2,2,Bachelors,2
1360,2022-06-20,1,74999,840,8 out of 17,2,"Celestia Spaces, Balkrishna Dadu Karade Chowk",2,1,Bachelors/Family,2
1361,2022-05-18,3,75000,1121,30 out of 45,2,"DB Woods, Gokuldham",2,2,Bachelors/Family,2
1362,2022-05-26,2,45000,650,2 out of 12,2,"Swastik Pride, Chembur East",2,1,Bachelors/Family,2
1363,2022-06-16,1,22000,575,14 out of 14,1,Kanjurmarg East,2,1,Bachelors/Family,1
1364,2022-05-27,1,32000,475,3 out of 4,1,Andheri East,2,2,Bachelors/Family,1
1365,2022-06-22,2,34000,830,9 out of 21,2,"Indraprastha CHS, Bhayandar East",2,2,Bachelors/Family,2
1366,2022-05-19,3,170000,1337,28 out of 30,2,"Oberoi Splendor Grande, Agarkar Chowk",2,2,Bachelors/Family,3
1367,2022-05-13,1,23000,420,5 out of 7,2,"Spring Leaf, Lokhandwala Twp",2,2,Bachelors/Family,2
1368,2022-06-21,1,20000,310,Ground out of 7,2,Malad West,2,1,Bachelors,1
1369,2022-07-04,3,350000,1800,2 out of 12,2,Khar West,2,2,Family,4
1370,2022-07-06,3,90000,967,14 out of 33,2,"Romell Aether, Goregaon East",2,2,Bachelors/Family,3
1371,2022-06-30,1,55000,505,4 out of 12,2,"Godrej The Trees, Vikhroli East",2,2,Bachelors/Family,1
1372,2022-06-23,1,15000,275,3 out of 7,1,Borivali East,2,1,Bachelors/Family,1
1373,2022-07-07,2,22000,640,21 out of 21,2,Mahajan Wadi,2,2,Family,2
1374,2022-06-13,3,60000,1500,10 out of 23,2,Film City,2,2,Bachelors/Family,3
1375,2022-06-13,2,49000,850,10 out of 23,2,"Lakshchandi Height, Goregaon East",2,2,Bachelors/Family,2
1376,2022-05-20,2,34000,900,12 out of 25,2,"Challenger Tower, Thakur Village, Kandivali East",2,2,Bachelors/Family,2
1377,2022-05-18,1,24000,430,6 out of 7,2,"Bhoomi Elegant, Thakur Complex",2,2,Bachelors/Family,2
1378,2022-07-07,4,270000,1649,18 out of 29,2,"Adani Western Heights, Andheri West",2,2,Family,3
1379,2022-05-11,3,69000,1100,12 out of 24,2,Chandivali,2,1,Bachelors/Family,3
1380,2022-07-09,3,120000,1200,14 out of 35,2,Worli,2,2,Bachelors/Family,3
1381,2022-06-17,2,32000,680,5 out of 20,2,"Galassia, Kandarpada",2,1,Family,2
1382,2022-05-25,2,24000,600,5 out of 7,2,Charkop,2,2,Bachelors,2
1383,2022-06-07,4,100000,1560,12 out of 19,2,"diamond garden, Chembur",2,1,Bachelors/Family,4
1385,2022-07-06,2,45000,771,20 out of 37,2,"Kalpataru Crest, Bhandup West",2,1,Bachelors/Family,2
1386,2022-07-09,2,80000,800,7 out of 22,2,"Hiranandani Castle Rock, Powai",2,2,Bachelors/Family,2
1387,2022-06-27,2,37000,800,5 out of 14,1,"Mayuresh Srishti, Bhandup West",2,2,Bachelors,2
1388,2022-06-16,3,210000,1425,9 out of 35,2,"The Primordial House, Kemps Corner",2,2,Bachelors,4
1389,2022-06-27,4,190000,1750,5 out of 17,2,"Godrej The Trees, Pirojshah Nagar",2,2,Bachelors/Family,4
1390,2022-05-27,1,25000,475,11 out of 15,2,Ghatkopar East,2,1,Bachelors,2
1391,2022-07-09,4,210000,2000,27 out of 27,2,Vikhroli,2,1,Bachelors,5
1392,2022-06-04,3,200000,1375,15 out of 60,2,"Raheja Imperia, Worli",2,2,Family,3
1394,2022-05-18,1,26000,650,1 out of 3,1,Srinagarchs chembur west near sankralyammandir,2,2,Bachelors/Family,1
1395,2022-06-01,2,27000,600,18 out of 20,2,"Royal Palms, Goregaon East",2,1,Bachelors,2
