Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
2022-07-08,2,90000,854,15 out of 20,2,"Kanakia Paris, Bandra Kurla Complex",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-27,3,120000,1200,5 out of 14,2,"Salvation CHS, Dadar West",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-06,1,55000,500,8 out of 18,2,Hiranandani Gardens,Mumbai,1,Bachelors,1,Contact Agent
2022-05-31,3,70000,906,7 out of 10,2,"Sanjona Gulmarg Towers, Chembur East",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-22,3,300000,1800,11 out of 11,2,Bandra West,Mumbai,2,Bachelors/Family,4,Contact Agent
2022-05-26,2,25000,500,1 out of 3,2,New Devchhaya Building,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-06-16,1,35000,450,2 out of 7,1,Goregaon West,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-07-09,3,120000,1130,3 out of 7,2,Bandra West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-04,1,27000,495,5 out of 7,1,Andheri East,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-05-19,1,25000,407,5 out of 23,1,Devi Pada,Mumbai,1,Bachelors/Family,2,Contact Owner
2022-06-16,3,150000,1092,60 out of 77,2,"Lodha The Park, Worli",Mumbai,2,Family,3,Contact Agent
2022-07-07,2,32000,610,11 out of 18,2,"The Windsor, Kandivali East",Mumbai,1,Family,2,Contact Agent
2022-07-07,1,40000,500,13 out of 14,1,"Manavsthal, Andheri East",Mumbai,2,Bachelors/Family,2,Contact Owner
2022-05-31,2,52000,750,4 out of 20,2,"vanamali chs ghatla, Ghatla",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-18,2,80000,750,6 out of 16,2,"lokhandwala residency, Worli",Mumbai,2,Bachelors,2,Contact Agent
2022-06-23,2,55000,850,6 out of 10,2,"Adityavardhan Apartment, Raheja Vihar",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-04,1,30000,350,5 out of 16,2,Prabhadevi,Mumbai,1,Bachelors/Family,1,Contact Agent
2022-06-04,1,20000,300,2 out of 12,2,"Sundar Nagar, Kalina",Mumbai,2,Bachelors/Family,1,Contact Agent
2022-05-23,1,85000,695,2 out of 7,2,Union Park,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-16,1,40000,415,15 out of 22,2,"Kanakia Rainforest, Andheri East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-25,1,21000,450,3 out of 13,2,Bhandup Village,Mumbai,1,Bachelors,2,Contact Agent
2022-06-23,3,43000,850,8 out of 14,2,"Aspire, Kandivali East",Mumbai,1,Family,3,Contact Agent
2022-05-11,2,58000,805,30 out of 58,2,"Auris Serenity, Link Road",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-07-06,2,130000,700,7 out of 10,2,Bandra West,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-04-13,3,260000,1800,10 out of 11,2,JVPD Scheme,Mumbai,2,Family,4,Contact Agent
2022-06-27,2,46000,669,15 out of 43,2,"Tulip at Runwal Forests, Kanjurmarg West",Mumbai,1,Bachelors,2,Contact Agent
2022-06-23,1,6500,325,7 out of 16,2,"Unicorn Global Arena, Naigaon East",Mumbai,1,Family,1,Contact Agent
2022-05-31,1,21000,600,5 out of 6,1,Sher E Punjab Society,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-05-22,2,46000,725,Upper Basement out of 16,2,Chembur,Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-03,2,60000,750,5 out of 9,2,"Green Woods Chkala, Andheri East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-29,3,65000,1050,13 out of 21,2,"Hillcrest, Andheri East",Mumbai,2,Bachelors,3,Contact Agent
2022-05-19,2,15000,600,18 out of 28,2,Shilphata,Mumbai,1,Bachelors/Family,2,Contact Owner
2022-06-28,2,130000,1000,10 out of 13,2,Bandra West,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-04,3,90000,1110,9 out of 55,2,"Omkar Alta Monte, Kurar Village",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-07-09,2,62000,650,11 out of 25,2,Jacob Circle,Mumbai,1,Family,2,Contact Agent
2022-06-08,3,160000,1100,8 out of 10,2,Santacruz West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-23,3,80000,1100,15 out of 28,2,"Godrej Central, Chembur",Mumbai,1,Bachelors/Family,3,Contact Agent
2022-07-04,3,80000,1110,49 out of 55,2,"Omkar Alta Monte, Kurar Village",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-28,3,55000,999,14 out of 23,2,"Orchid Residency, Link Road",Mumbai,2,Family,2,Contact Agent
2022-06-22,3,100000,1000,2 out of 4,2,Santacruz West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-07-09,4,200000,2200,11 out of 20,2,Seven Bungalows,Mumbai,2,Bachelors/Family,5,Contact Agent
2022-06-02,3,100000,1256,10 out of 22,2,"Satyam Springs, Deonar",Mumbai,2,Family,3,Contact Agent
2022-07-06,2,79500,750,17 out of 20,2,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,2,Family,2,Contact Agent
2022-07-06,3,84500,889,7 out of 27,2,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-12,2,100000,750,14 out of 27,2,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-17,1,13000,385,6 out of 20,2,"Aims Sea View, Indralok",Mumbai,1,Family,1,Contact Agent
2022-06-16,4,100000,1454,5 out of 7,2,"diamond garden, Chembur East",Mumbai,1,Bachelors/Family,4,Contact Agent
2022-07-06,1,35000,480,1 out of 7,2,Seven Bungalows,Mumbai,2,Family,2,Contact Agent
2022-05-23,2,72000,660,12 out of 22,2,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-22,3,180000,1600,9 out of 16,2,Bandra West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-07-06,1,26000,434,5 out of 22,2,"Samarth Srishti, Bhandup West",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-31,3,72000,1121,7 out of 14,2,"Hari Kunj II, Sindhi Society Chembur",Mumbai,1,Bachelors/Family,3,Contact Agent
2022-06-28,1,8000,620,6 out of 8,1,Virar,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-07-07,3,130000,937,16 out of 27,2,"Runwal Elegante, Andheri West",Mumbai,2,Family,2,Contact Agent
2022-06-12,1,52000,470,6 out of 7,2,"Godrej The Trees, Vikhroli East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-12,1,13000,410,2 out of 7,2,Mira Road East,Mumbai,1,Family,1,Contact Agent
2022-06-16,3,45000,850,5 out of 7,2,Mulund West,Mumbai,1,Family,3,Contact Agent
2022-07-09,3,180000,1500,15 out of 20,2,"Purushottam Towers, Dadar West",Mumbai,2,Bachelors/Family,4,Contact Agent
2022-07-09,2,63000,888,12 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-28,1,7500,380,3 out of 7,2,sunanda circal,Mumbai,1,Bachelors,2,Contact Owner
2022-07-06,1,30000,360,4 out of 20,2,"Antop Hill, Wadala",Mumbai,1,Bachelors/Family,1,Contact Agent
2022-07-07,1,28500,565,1 out of 8,1,Kandivali East,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-07-07,3,100000,2000,25 out of 50,1,"Auris Serenity, Malad West",Mumbai,2,Bachelors/Family,4,Contact Agent
2022-06-23,4,270000,1358,25 out of 50,2,"Lodha Kiara, Worli Hill",Mumbai,2,Family,4,Contact Agent
2022-07-09,2,38000,661,17 out of 36,2,"Runwal Forests, Kanjurmarg West",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-06,1,26000,450,9 out of 20,2,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,1,Family,2,Contact Agent
2022-05-14,3,70000,1300,6 out of 30,2,Goregaon West,Mumbai,1,Bachelors,3,Contact Agent
2022-06-04,2,41000,600,4 out of 8,2,"Vasant Oscar, Mulund West",Mumbai,2,Family,2,Contact Agent
2022-04-27,2,27000,900,Ground out of 4,1,Mahatama Gandhi Road,Mumbai,2,Bachelors/Family,3,Contact Owner
2022-06-30,1,53000,379,21 out of 23,2,"Hiranandani Regent Hill, Powai",Mumbai,2,Bachelors,1,Contact Agent
2022-05-18,2,65000,805,8 out of 58,2,"Auris Serenity, Kanch Pada",Mumbai,2,Family,3,Contact Agent
2022-05-14,1,85000,650,3 out of 8,1,Malabar Hill,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-04-28,1,6000,500,8 out of 10,1,Naigaon East,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-06-20,1,43000,480,5 out of 7,2,Seven Bungalows,Mumbai,2,Family,2,Contact Agent
2022-06-23,2,65000,550,1 out of 7,1,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,2,Bachelors/Family,2,Contact Owner
2022-06-08,3,280000,1600,5 out of 12,2,Bandra West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-28,3,98000,1400,4 out of 15,2,"Hubtown Sunmist, Chakala",Mumbai,2,Family,2,Contact Agent
2022-06-15,3,330000,1500,20 out of 41,2,"Indiabulls Blu, Worli",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-09,3,65000,1050,3 out of 62,2,"Alpine, Kandivali East",Mumbai,1,Bachelors,3,Contact Agent
2022-07-06,3,85000,920,4 out of 13,2,Ghatkopar East,Mumbai,1,Family,3,Contact Agent
2022-07-07,1,40000,450,8 out of 13,2,"Ajmera Bhakti Park, Bhakti Park",Mumbai,2,Bachelors/Family,1,Contact Agent
2022-07-07,1,23000,440,Ground out of 4,2,in Kandivali West,Mumbai,2,Bachelors,1,Contact Agent
2022-05-10,3,55000,932,3 out of 8,1,Ghatkopar West,Mumbai,1,Bachelors/Family,3,Contact Owner
2022-04-27,1,15000,270,15 out of 15,2,chakala andheri east,Mumbai,1,Bachelors,2,Contact Owner
2022-06-30,1,52000,379,23 out of 23,2,"Hiranandani Regent Hill, Powai",Mumbai,2,Bachelors,2,Contact Agent
2022-05-26,2,13000,582,5 out of 8,2,Lodha casa rio,Mumbai,2,Family,2,Contact Owner
2022-06-28,2,95000,800,6 out of 8,2,"Pali Hill Apartment, Pali Hill",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-06,1,25000,444,7 out of 17,2,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-04,1,21000,428,12 out of 21,2,"Godrej Tranquil, Lokhandwala Twp",Mumbai,1,Bachelors/Family,1,Contact Agent
2022-06-27,5,360000,1880,11 out of 27,2,"Runwal Elegante, Andheri West",Mumbai,2,Family,4,Contact Agent
2022-07-06,2,60000,888,5 out of 20,2,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-31,1,19000,490,Ground out of 8,1,Bhandup East,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-06-16,3,140000,937,28 out of 39,2,"Sheth Beaumonte, Sion Koliwada",Mumbai,1,Family,4,Contact Agent
2022-05-13,2,30000,710,12 out of 21,2,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,1,Family,2,Contact Agent
2022-05-18,4,130000,1617,15 out of 58,2,"Auris Serenity, Kanch Pada",Mumbai,2,Bachelors/Family,5,Contact Agent
2022-05-24,2,80000,836,6 out of 23,2,"TATA Falcon Crest, Parel",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-06,2,85000,1200,36 out of 45,2,"Crescent Bay T3, Bhoiwada",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-07-07,2,65000,950,9 out of 28,2,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-09,1,33000,460,10 out of 25,2,"Conwood Astoria, Goregaon East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-09,1,36000,585,10 out of 14,1,"Odyssey Bhakti Park, Bhakti Park",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-12,2,22000,550,2 out of 7,2,"Salasar Garden, Beverly Park",Mumbai,2,Family,2,Contact Agent
2022-06-16,1,17000,375,9 out of 20,2,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,1,Bachelors/Family,1,Contact Agent
2022-06-03,2,55000,700,10 out of 20,2,"Raj Legacy, Vikhroli West",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-09,2,66000,750,2 out of 8,2,"Sundar Nagar, Kalina",Mumbai,1,Family,2,Contact Agent
2022-07-09,4,140000,2000,6 out of 45,2,"DB Woods, Gokuldham",Mumbai,2,Family,4,Contact Agent
2022-07-06,4,260000,2046,22 out of 52,2,"Oberoi Esquire, Goregaon East",Mumbai,2,Bachelors/Family,5,Contact Agent
2022-06-28,2,32000,750,3 out of 7,1,"Shree Sai Usha Complex, Bhandup West",Mumbai,2,Bachelors/Family,2,Contact Owner
2022-06-27,2,45000,730,5 out of 17,2,"Raheja Heights, Malad East",Mumbai,1,Family,2,Contact Agent
2022-05-17,2,50000,750,10 out of 20,2,"Hillcrest, Andheri East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-04-29,1,18500,229,5 out of 9,1,Vile Parle,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-06-29,2,51000,910,10 out of 19,2,"Rivali Park, Borivali East",Mumbai,1,Bachelors,2,Contact Agent
2022-06-04,4,140000,1648,21 out of 58,2,"Sheth Auris Serinity, Malad West",Mumbai,2,Bachelors/Family,5,Contact Agent
2022-07-09,3,80000,1100,48 out of 54,2,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,1,Family,3,Contact Agent
2022-06-26,1,30000,560,2 out of 4,2,Ghatkopar East,Mumbai,1,Bachelors,2,Contact Agent
2022-06-30,2,85000,850,4 out of 6,2,Andheri West,Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-16,1,15000,450,2 out of 4,1,Dahisar East,Mumbai,1,Family,1,Contact Owner
2022-05-31,2,50000,820,7 out of 28,2,"Raheja Heights, BMC Colony Malad East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-31,2,60000,750,10 out of 20,2,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-07,1,23000,410,4 out of 7,2,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,1,Bachelors/Family,1,Contact Agent
2022-05-02,1,14500,490,12 out of 20,2,Ketki Pada,Mumbai,1,Bachelors/Family,2,Contact Owner
2022-06-30,2,40000,700,11 out of 15,2,Collector Colony,Mumbai,1,Bachelors/Family,2,Contact Agent
2022-05-31,5,650000,3000,8 out of 10,2,Khar West,Mumbai,2,Bachelors/Family,5,Contact Agent
2022-05-23,1,80000,560,1 out of 7,2,Waterfield Road,Mumbai,2,Bachelors/Family,1,Contact Agent
2022-07-07,2,55000,650,8 out of 18,2,"White Lily Apartment, Bhandup East",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-05-31,1,12000,520,2 out of 3,1,in Mira Road,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-07-09,2,45000,850,9 out of 12,2,"Eco Residency, Andheri East",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-09,2,90000,777,19 out of 22,2,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-06,2,43000,771,15 out of 37,2,"Kalpataru Crest, Bhandup West",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-07,1,22000,400,3 out of 7,2,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,1,Bachelors/Family,1,Contact Agent
2022-06-26,2,20000,600,7 out of 7,2,"Marigold-5, Beverly Park",Mumbai,2,Family,2,Contact Agent
2022-07-04,1,26000,390,Upper Basement out of 7,2,"Greenfields CHS, Andheri East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-23,4,850000,3200,2 out of 4,2,Breach Candy,Mumbai,2,Bachelors/Family,4,Contact Agent
2022-06-27,1,34999,450,5 out of 12,2,"HDIL Premier Residences, Kurla West",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-04,1,35000,500,7 out of 23,1,Powai,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-05-13,1,50000,410,6 out of 12,2,Dadar East,Mumbai,2,Bachelors/Family,1,Contact Agent
2022-06-03,1,16000,160,2 out of 3,2,Lal Baug,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-05-14,2,55000,750,10 out of 14,2,Chandivali,Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-02,1,39000,585,3 out of 7,1,"Chanchal Kalyan Complex, Yari Road",Mumbai,1,Family,2,Contact Agent
2022-06-16,3,100000,1300,12 out of 24,2,"L&T Emerald Isle, Powai",Mumbai,2,Family,3,Contact Agent
2022-06-10,1,25000,350,2 out of 17,2,Ghatla,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-05-05,1,25000,490,3 out of 7,1,Kandivali East,Mumbai,2,Bachelors/Family,2,Contact Owner
2022-07-06,2,49500,650,5 out of 16,2,Juhu Versova Link Road,Mumbai,1,Family,2,Contact Agent
2022-06-10,1,21000,225,6 out of 24,2,Lower Parel,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-06-20,2,110000,850,5 out of 13,2,Pali Hill,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-07,1,21000,385,Ground out of 5,1,in Santacruz East,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-07-09,2,46700,800,2 out of 7,2,"Milap CHS, Seven Bungalows",Mumbai,1,Family,2,Contact Agent
2022-06-22,4,400000,2500,5 out of 12,2,Bandra West,Mumbai,2,Bachelors/Family,4,Contact Agent
2022-05-14,4,280000,1526,76 out of 78,2,"Lodha Marquise, Worli",Mumbai,2,Bachelors/Family,5,Contact Agent
2022-05-27,1,18000,300,3 out of 10,1,Kurla West,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-07-06,3,80000,1800,10 out of 13,1,"Sabari Palm View, Chembur",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-28,2,88000,800,5 out of 20,2,"Kanakia Paris, Bandra Kurla Complex",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-17,3,90000,890,20 out of 27,2,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,2,Family,2,Contact Agent
2022-05-18,2,38000,700,14 out of 23,2,"Sky Villa, Gokuldham",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-07,1,20000,465,3 out of 4,1,in Borivali East,Mumbai,2,Bachelors,1,Contact Owner
2022-06-20,2,140000,900,8 out of 36,2,"Marathon Next Gen Era, Lower Parel",Mumbai,2,Family,2,Contact Agent
2022-05-17,3,78000,1073,8 out of 20,2,"Raheja Ridgewood, Goregaon East",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-05-23,1,21000,450,4 out of 7,1,Chembur,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-06-27,3,95000,1350,8 out of 16,2,"Rajesh Raj Classic, Yari Road",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-30,2,90000,800,5 out of 8,2,"Band Stand, Bandra Band Stand",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-04,2,34000,600,4 out of 7,2,"Shiv Dham Apartment, Goregaon East",Mumbai,1,Bachelors,2,Contact Agent
2022-06-30,2,55000,650,5 out of 15,2,Sion Trombay Road,Mumbai,1,Bachelors/Family,2,Contact Agent
2022-05-18,2,52000,550,3 out of 3,2,Dadar East,Mumbai,2,Bachelors,2,Contact Agent
2022-06-20,1,74999,840,8 out of 17,2,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-05-18,3,75000,1121,30 out of 45,2,"DB Woods, Gokuldham",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-26,2,45000,650,2 out of 12,2,"Swastik Pride, Chembur East",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-16,1,22000,575,14 out of 14,1,Kanjurmarg East,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-05-27,1,32000,475,3 out of 4,1,Andheri East,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-06-22,2,34000,830,9 out of 21,2,"Indraprastha CHS, Bhayandar East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-19,3,170000,1337,28 out of 30,2,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-05-13,1,23000,420,5 out of 7,2,"Spring Leaf, Lokhandwala Twp",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-21,1,20000,310,Ground out of 7,2,Malad West,Mumbai,1,Bachelors,1,Contact Agent
2022-07-04,3,350000,1800,2 out of 12,2,Khar West,Mumbai,2,Family,4,Contact Agent
2022-07-06,3,90000,967,14 out of 33,2,"Romell Aether, Goregaon East",Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-30,1,55000,505,4 out of 12,2,"Godrej The Trees, Vikhroli East",Mumbai,2,Bachelors/Family,1,Contact Agent
2022-06-23,1,15000,275,3 out of 7,1,Borivali East,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-07-07,2,22000,640,21 out of 21,2,Mahajan Wadi,Mumbai,2,Family,2,Contact Agent
2022-06-13,3,60000,1500,10 out of 23,2,Film City,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-13,2,49000,850,10 out of 23,2,"Lakshchandi Height, Goregaon East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-20,2,34000,900,12 out of 25,2,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-05-18,1,24000,430,6 out of 7,2,"Bhoomi Elegant, Thakur Complex",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-07,4,270000,1649,18 out of 29,2,"Adani Western Heights, Andheri West",Mumbai,2,Family,3,Contact Agent
2022-05-11,3,69000,1100,12 out of 24,2,Chandivali,Mumbai,1,Bachelors/Family,3,Contact Agent
2022-07-09,3,120000,1200,14 out of 35,2,Worli,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-17,2,32000,680,5 out of 20,2,"Galassia, Kandarpada",Mumbai,1,Family,2,Contact Agent
2022-05-25,2,24000,600,5 out of 7,2,Charkop,Mumbai,2,Bachelors,2,Contact Owner
2022-06-07,4,100000,1560,12 out of 19,2,"diamond garden, Chembur",Mumbai,1,Bachelors/Family,4,Contact Agent
2022-05-27,5,600000,4500,7 out of 20,2,Bandra West,Mumbai,2,Bachelors,5,Contact Agent
2022-07-06,2,45000,771,20 out of 37,2,"Kalpataru Crest, Bhandup West",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-07-09,2,80000,800,7 out of 22,2,"Hiranandani Castle Rock, Powai",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-27,2,37000,800,5 out of 14,1,"Mayuresh Srishti, Bhandup West",Mumbai,2,Bachelors,2,Contact Agent
2022-06-16,3,210000,1425,9 out of 35,2,"The Primordial House, Kemps Corner",Mumbai,2,Bachelors,4,Contact Agent
2022-06-27,4,190000,1750,5 out of 17,2,"Godrej The Trees, Pirojshah Nagar",Mumbai,2,Bachelors/Family,4,Contact Agent
2022-05-27,1,25000,475,11 out of 15,2,Ghatkopar East,Mumbai,1,Bachelors,2,Contact Agent
2022-07-09,4,210000,2000,27 out of 27,2,Vikhroli,Mumbai,1,Bachelors,5,Contact Agent
2022-06-04,3,200000,1375,15 out of 60,2,"Raheja Imperia, Worli",Mumbai,2,Family,3,Contact Agent
2022-06-29,5,310000,2800,19 out of 33,2,"MidCity Shikhar, Andheri West",Mumbai,2,Bachelors/Family,5,Contact Agent
2022-05-18,1,26000,650,1 out of 3,1,Srinagarchs chembur west near sankralyammandir,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-06-01,2,27000,600,18 out of 20,2,"Royal Palms, Goregaon East",Mumbai,1,Bachelors,2,Contact Agent
2022-04-29,1,26000,649,3 out of 3,1,"Uttam Society, Chembur",Mumbai,1,Bachelors/Family,1,Contact Owner
2022-06-29,2,60000,950,2 out of 8,2,"Green Woods Chkala, Andheri East",Mumbai,2,Bachelors,2,Contact Agent
2022-06-02,1,12000,225,7 out of 7,2,Ashok Van,Mumbai,1,Family,1,Contact Owner
2022-06-22,2,180000,1000,6 out of 10,2,Malabar Hill,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-09,1,30000,330,13 out of 40,2,Malad East,Mumbai,2,Family,1,Contact Agent
2022-06-25,3,100000,1200,8 out of 14,2,Khar West,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-06-23,3,140000,1270,15 out of 60,2,"Lodha Azzuro , Parel",Mumbai,2,Bachelors,3,Contact Agent
2022-05-17,3,70000,920,14 out of 21,2,"Safal Twins, Chembur",Mumbai,1,Bachelors/Family,3,Contact Agent
2022-05-26,2,20000,630,4 out of 22,2,"SK Imperial Heights, Mira Road East",Mumbai,1,Family,2,Contact Agent
2022-05-28,2,22000,670,4 out of 12,2,"Prathamesh Heritage, Beverly Park",Mumbai,2,Family,2,Contact Agent
2022-06-04,1,32000,450,1 out of 5,1,Andheri West,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-04-28,1,20000,265,6 out of 7,1,Mazgaon,Mumbai,1,Bachelors/Family,1,Contact Owner
2022-07-06,2,50000,600,9 out of 11,2,"K Raheja Maple Leaf, Powai",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-07-04,2,29000,670,7 out of 7,2,Amar Nagar,Mumbai,1,Family,2,Contact Owner
2022-07-06,2,45000,650,10 out of 18,2,Chandivali,Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-02,1,6500,422,9 out of 15,2,Nalasopara West,Mumbai,2,Family,2,Contact Agent
2022-06-12,2,55000,955,8 out of 22,2,"MJ Shah Centrio, Chembur",Mumbai,1,Bachelors/Family,2,Contact Agent
2022-06-27,3,69999,1100,6 out of 13,2,Kurla,Mumbai,2,Bachelors/Family,3,Contact Agent
2022-05-08,1,18500,300,3 out of 4,2,JL Tambe Nagar,Mumbai,1,Bachelors,1,Contact Owner
2022-06-30,2,50000,900,5 out of 17,2,"Dheeraj Valley Tower, Goregaon East",Mumbai,2,Bachelors/Family,2,Contact Owner
2022-06-28,2,45000,785,2 out of 7,2,Chakala,Mumbai,1,Bachelors,2,Contact Agent
2022-06-03,3,85000,1350,20 out of 31,2,"HDIL Metropolis, 4 Bunglows",Mumbai,2,Family,3,Contact Agent
2022-06-06,2,85000,900,27 out of 45,2,"Ruparel Ariana, Parel",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-27,1,25000,400,18 out of 23,2,Worli,Mumbai,1,Bachelors,1,Contact Agent
2022-05-27,2,75000,800,19 out of 20,2,"Sethia Grandeur, Bandra East",Mumbai,2,Bachelors,3,Contact Agent
2022-07-09,2,190000,895,32 out of 46,2,"Indiabulls Blu, Worli",Mumbai,2,Bachelors/Family,2,Contact Agent
2022-06-27,1,20000,625,10 out of 12,1,Dahisar East,Mumbai,2,Bachelors/Family,1,Contact Owner
2022-06-23,2,30000,720,5 out of 14,2,"Samarth Garden, Bhandup West",Mumbai,2,Bachelors/Family,2,Contact Agent
